Number of iterations,aspiration,lenght of tabu list,maximum run time,Nb customers,Nb vehicles,Capacity,DB,results,num graph
100,True,14,75,15,3,100,0.8091833731707992,763.4094087463258,4
125,True,3,60,15,3,100,0.8091833731707992,783.9172991400869,4
125,True,3,75,15,3,100,0.8091833731707992,763.4094087463258,4
125,True,7,60,15,3,100,0.8091833731707992,783.9172991400869,4
125,True,7,75,15,3,100,0.8091833731707992,763.4094087463258,4
125,True,14,60,15,3,100,0.8091833731707992,783.9172991400869,4
125,True,14,75,15,3,100,0.8091833731707992,763.4094087463258,4
150,True,3,60,15,3,100,0.8091833731707992,783.9172991400869,4
150,True,3,75,15,3,100,0.8091833731707992,763.4094087463258,4
150,True,7,60,15,3,100,0.8091833731707992,783.9172991400869,4
150,True,7,75,15,3,100,0.8091833731707992,763.4094087463258,4
150,True,14,60,15,3,100,0.8091833731707992,783.9172991400869,4
150,True,14,75,15,3,100,0.8091833731707992,763.4094087463258,4
100,True,3,60,15,2,350,1.2668475460712783,440.09730965260326,5
100,True,3,75,15,2,350,1.2668475460712783,440.09730965260326,5
100,True,7,60,15,2,350,1.2668475460712783,440.09730965260326,5
100,True,7,75,15,2,350,1.2668475460712783,440.09730965260326,5
100,True,14,60,15,2,350,1.2668475460712783,440.09730965260326,5
100,True,14,75,15,2,350,1.2668475460712783,440.09730965260326,5
125,True,3,60,15,2,350,1.2668475460712783,440.09730965260326,5
125,True,3,75,15,2,350,1.2668475460712783,440.09730965260326,5
125,True,7,60,15,2,350,1.2668475460712783,440.09730965260326,5
125,True,7,75,15,2,350,1.2668475460712783,440.09730965260326,5
125,True,14,60,15,2,350,1.2668475460712783,440.09730965260326,5
125,True,14,75,15,2,350,1.2668475460712783,440.09730965260326,5
150,True,3,60,15,2,350,1.2668475460712783,440.09730965260326,5
150,True,3,75,15,2,350,1.2668475460712783,440.09730965260326,5
150,True,7,60,15,2,350,1.2668475460712783,440.09730965260326,5
150,True,7,75,15,2,350,1.2668475460712783,440.09730965260326,5
150,True,14,60,15,2,350,1.2668475460712783,440.09730965260326,5
150,True,14,75,15,2,350,1.2668475460712783,440.09730965260326,5
100,False,3,60,15,2,280,0.7965197209144423,505.92440835599416,6
100,False,3,75,15,2,280,0.7965197209144423,490.2861190582174,6
