Number of iterations,aspiration,lenght of tabu list,maximum run time,Nb customers,Nb vehicles,Capacity,DB,results,num graph
100,True,253,75,254,39,200,0.7709414425923133,10952.366601767191,10
100,False,127,75,254,43,135,0.7245565813177384,11994.42979862746,11
100,True,63,75,254,92,45,0.6644647030306176,16990.92470529236,12
100,True,63,60,254,96,60,0.693276404904475,16174.529907423639,13
100,False,63,75,254,43,100,0.7392996392118787,10998.731000427568,14
100,False,63,60,254,117,3000,0.5430772864593554,16691.176042480398,15
100,True,74,75,297,33,170,0.7987045916729851,12943.136964019868,7
100,True,296,75,297,28,200,0.7846764946162162,11745.49444439364,8
100,False,74,75,297,52,100,0.7504988075075362,15083.724134846161,9
100,False,296,75,297,28,200,0.7933245396810661,11704.308489348277,10
100,True,148,75,297,49,100,0.8303141318089614,15749.362068768038,11
100,False,74,60,297,138,35,0.6096289494258417,21234.423087767078,12
100,True,296,75,297,49,135,0.770924287212892,14189.519746027658,13
100,True,74,75,297,32,170,0.8113616536293371,11380.991618523141,14
100,True,148,75,297,32,170,0.7544658677048698,12448.009546067868,15
100,True,296,75,297,32,170,0.8239531373337846,11143.773738369146,16
100,False,11,75,44,3,350,0.8272532775577353,934.6386305081046,8
100,True,11,75,44,4,280,0.6792840443892461,1116.3790702408749,9
100,False,22,60,44,23,55,0.6087913717605901,3063.9797995089107,10
100,True,11,75,44,4,280,0.698581187822813,1111.5247690662386,11
100,False,11,75,44,8,140,0.7186720337723043,1292.8184282467355,12
100,True,11,75,44,7,135,0.8072893049531878,1499.6957066232067,13
100,True,11,75,44,5,170,0.6828645407833367,1198.6246626874772,14
100,False,11,75,44,4,160,0.8107986189117006,1084.8670097700838,15
100,False,11,60,44,6,150,0.7843882460598207,1363.5508384695545,16
100,True,11,60,44,19,45,0.5610146213695333,3323.6173689556945,17
100,True,12,60,49,22,3000,0.58253356770713,3577.9795531297414,9
100,True,12,60,49,9,135,0.5468478465549562,2185.9531759621814,10
100,False,24,75,49,4,400,0.6785688215875227,1254.0776732803708,11
100,False,48,75,49,5,160,0.8141977942092108,1321.7096084478478,12
100,True,24,75,49,5,160,0.7787569080925696,1428.9660472570195,13
100,False,12,75,49,18,50,0.6969710671972826,3161.4680989817907,14
100,True,12,75,49,16,50,0.6344803075252985,2779.6256214117548,15
100,False,12,60,49,31,40,0.5043726204306406,4476.709331305064,16
100,True,12,75,49,4,350,0.7723518795276085,1311.9216752825891,17
100,False,24,75,49,9,100,0.7166329531778288,1824.6708488268714,18
100,True,12,60,50,27,35,0.593528640826259,4115.456642690691,10
100,False,12,60,50,21,3000,0.5626265862836373,3887.271023447447,11
100,True,12,60,50,22,55,0.5696541096367063,3143.3657286316666,12
100,False,12,60,50,18,60,0.5803154609423115,3296.795544073934,13
100,False,12,75,50,9,140,0.6724194824103572,1833.827308222598,14
100,False,12,75,50,5,280,0.6959769384858966,1238.913168929873,15
100,False,12,75,50,8,100,0.752530621613013,1674.003306009296,16
100,False,12,60,50,26,35,0.4347299842855914,3332.0511917022623,17
100,False,12,75,50,20,3000,0.513598908222868,4008.876315087789,18
100,False,25,75,50,9,140,0.5700985106403095,1799.588009330787,19
100,True,13,75,54,5,200,0.7850607793065689,1349.4832982661158,11
100,True,13,75,54,21,60,0.5594520578094853,3836.071393703166,12
100,True,13,75,54,4,350,0.6818137225484954,1322.2115346516568,13
100,True,13,75,54,6,170,0.7062869922214023,1554.2179787865653,14
100,True,13,60,54,8,140,0.7421453007660657,1818.7978698016339,15
100,True,13,75,54,10,140,0.8679846490497215,2192.597786736993,16
100,False,13,60,54,20,50,0.6023085083392987,4127.812081222348,17
100,False,27,75,54,7,150,0.8393449376729268,1634.8473714525303,18
100,False,13,60,54,21,45,0.5927838037396036,4016.4687061167247,19
100,True,13,75,54,6,170,0.8678225643113242,1573.111361823409,20
100,True,7,60,15,8,35,0.8863069021633004,516.3387723659182,0
100,False,4,60,18,2,160,0.7657656298332819,252.0420052689625,1
100,True,4,75,19,2,160,0.8519095750060174,243.98490499635125,2
100,True,5,60,20,2,160,0.9338271838683709,267.15127864454337,3
100,False,5,60,21,2,160,0.9022343269719723,244.53903710934185,4
100,True,5,60,21,8,3000,0.7735945654247988,729.1858711489278,5
100,False,5,75,22,8,40,0.9570891328859978,684.2921220254432,6
100,True,9,75,39,5,140,0.8392295319740832,628.6615182700331,7
100,False,11,75,44,5,150,0.9680893632456009,807.847471335996,8
100,True,12,75,49,7,150,1.0522197364085442,959.9284052548096,9
100,False,12,75,49,8,120,0.9220763232934477,999.3243580768293,10
100,True,24,75,49,10,100,0.704199622050745,1109.0938203445294,11
100,True,13,75,54,7,170,0.8954024001084574,942.0605640632798,12
100,True,13,75,54,10,115,0.798858707672666,1125.3028976944522,13
100,True,13,75,54,16,70,0.6415923039281088,1584.3274648589615,14
100,True,14,75,59,10,120,0.8000114560649635,1336.3608315522456,15
